"lon","lat","biome"
279.75,83.75,22
280.25,83.75,27
280.75,83.75,27
281.25,83.75,27
281.75,83.75,27
282.25,83.75,27
282.75,83.75,27
283.25,83.75,27
283.75,83.75,27
284.25,83.75,27
284.75,83.75,27
285.25,83.75,27
285.75,83.75,27
286.25,83.75,27
286.75,83.75,27
287.25,83.75,27
287.75,83.75,27
288.25,83.75,27
288.75,83.75,27
289.25,83.75,27
289.75,83.75,27
290.25,83.75,27
290.75,83.75,27
291.25,83.75,27
291.75,83.75,27
292.25,83.75,27
292.75,83.75,27
293.25,83.75,27
293.75,83.75,27
313.75,83.75,27
314.25,83.75,27
314.75,83.75,27
315.25,83.75,27
315.75,83.75,27
316.25,83.75,27
316.75,83.75,27
317.25,83.75,28
317.75,83.75,28
318.25,83.75,28
318.75,83.75,28
319.25,83.75,28
319.75,83.75,28
320.25,83.75,28
320.75,83.75,27
321.25,83.75,27
321.75,83.75,27
322.25,83.75,27
322.75,83.75,27
323.25,83.75,27
323.75,83.75,27
324.25,83.75,27
324.75,83.75,27
325.25,83.75,27
325.75,83.75,27
326.25,83.75,27
326.75,83.75,27
327.25,83.75,27
327.75,83.75,27
328.25,83.75,27
328.75,83.75,27
329.25,83.75,27
329.75,83.75,27
330.25,83.75,27
330.75,83.75,27
331.25,83.75,27
331.75,83.75,27
332.25,83.75,27
332.75,83.75,27
333.25,83.75,27
333.75,83.75,27
334.25,83.75,27
334.75,83.75,27
335.25,83.75,27
279.75,83.25,22
280.25,83.25,22
280.75,83.25,27
281.25,83.25,27
281.75,83.25,27
282.25,83.25,27
282.75,83.25,27
283.25,83.25,27
283.75,83.25,27
284.25,83.25,27
284.75,83.25,27
285.25,83.25,27
285.75,83.25,27
286.25,83.25,27
286.75,83.25,27
287.25,83.25,27
287.75,83.25,27
288.25,83.25,27
288.75,83.25,27
289.25,83.25,27
289.75,83.25,27
290.25,83.25,27
290.75,83.25,27
291.25,83.25,27
291.75,83.25,27
292.25,83.25,27
292.75,83.25,27
293.25,83.25,27
293.75,83.25,27
294.25,83.25,27
313.25,83.25,27
313.75,83.25,27
314.25,83.25,27
314.75,83.25,27
315.25,83.25,27
315.75,83.25,27
316.25,83.25,27
316.75,83.25,27
317.25,83.25,28
317.75,83.25,28
318.25,83.25,28
318.75,83.25,28
319.25,83.25,28
319.75,83.25,28
320.25,83.25,28
320.75,83.25,27
321.25,83.25,27
321.75,83.25,27
322.25,83.25,27
322.75,83.25,27
323.25,83.25,27
323.75,83.25,27
324.25,83.25,27
324.75,83.25,27
325.25,83.25,27
325.75,83.25,27
326.25,83.25,27
326.75,83.25,27
327.25,83.25,27
327.75,83.25,27
328.25,83.25,27
328.75,83.25,27
329.25,83.25,27
329.75,83.25,27
330.25,83.25,22
330.75,83.25,27
331.25,83.25,27
331.75,83.25,27
332.25,83.25,27
332.75,83.25,27
333.25,83.25,27
333.75,83.25,27
334.25,83.25,27
334.75,83.25,27
335.25,83.25,27
279.75,82.75,26
280.25,82.75,22
280.75,82.75,26
281.25,82.75,26
281.75,82.75,26
282.25,82.75,26
282.75,82.75,22
283.25,82.75,22
283.75,82.75,22
284.25,82.75,22
284.75,82.75,22
285.25,82.75,26
285.75,82.75,22
286.25,82.75,22
286.75,82.75,22
287.25,82.75,22
287.75,82.75,22
288.25,82.75,22
288.75,82.75,22
289.25,82.75,22
289.75,82.75,22
290.25,82.75,22
290.75,82.75,22
291.25,82.75,22
291.75,82.75,22
292.25,82.75,22
292.75,82.75,22
293.25,82.75,22
293.75,82.75,22
294.25,82.75,22
313.25,82.75,27
313.75,82.75,27
314.25,82.75,27
314.75,82.75,27
315.25,82.75,27
315.75,82.75,27
316.25,82.75,27
316.75,82.75,27
317.25,82.75,28
317.75,82.75,28
318.25,82.75,28
318.75,82.75,28
319.25,82.75,28
319.75,82.75,28
320.25,82.75,28
320.75,82.75,27
321.25,82.75,27
321.75,82.75,27
322.25,82.75,27
322.75,82.75,27
323.25,82.75,27
323.75,82.75,27
324.25,82.75,27
324.75,82.75,27
325.25,82.75,27
325.75,82.75,27
326.25,82.75,27
326.75,82.75,27
327.25,82.75,27
327.75,82.75,27
328.25,82.75,27
328.75,82.75,27
329.25,82.75,27
329.75,82.75,27
330.25,82.75,27
330.75,82.75,27
331.25,82.75,27
331.75,82.75,27
332.25,82.75,27
332.75,82.75,27
333.25,82.75,27
333.75,82.75,27
334.25,82.75,27
334.75,82.75,27
335.25,82.75,27
279.75,82.25,26
280.25,82.25,26
280.75,82.25,26
281.25,82.25,26
281.75,82.25,26
282.25,82.25,26
282.75,82.25,26
283.25,82.25,26
283.75,82.25,26
284.25,82.25,26
284.75,82.25,26
285.25,82.25,26
285.75,82.25,26
286.25,82.25,26
286.75,82.25,22
287.25,82.25,22
287.75,82.25,22
288.25,82.25,22
288.75,82.25,22
289.25,82.25,22
289.75,82.25,22
290.25,82.25,22
290.75,82.25,22
291.25,82.25,22
291.75,82.25,22
292.25,82.25,22
292.75,82.25,22
293.25,82.25,22
293.75,82.25,22
294.25,82.25,22
313.25,82.25,27
313.75,82.25,27
314.25,82.25,27
314.75,82.25,27
315.25,82.25,27
315.75,82.25,27
316.25,82.25,27
316.75,82.25,27
317.25,82.25,28
317.75,82.25,28
